ID	Superkingdom	Phylum	Class	Order	Family	Genus	SpeciesCluster
motu_linkage_group_10	Bacteria	Firmicutes	NA	NA	NA	NA	NA
motu_linkage_group_100	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium rectale
motu_linkage_group_101	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
motu_linkage_group_102	Bacteria	Firmicutes	Clostridia	Clostridiales	Erysipelotrichaceae	NA	NA
motu_linkage_group_103	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
motu_linkage_group_104	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
motu_linkage_group_105	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
motu_linkage_group_106	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans
motu_linkage_group_109	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
motu_linkage_group_111	Bacteria	NA	NA	NA	NA	NA	NA
motu_linkage_group_112	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	Mitsuokella multacida
motu_linkage_group_113	Bacteria	NA	NA	NA	NA	NA	NA
motu_linkage_group_115	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
motu_linkage_group_116	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. D20
motu_linkage_group_117	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
motu_linkage_group_118	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
motu_linkage_group_119	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides merdae
motu_linkage_group_120	Bacteria	Firmicutes	NA	NA	NA	NA	NA
motu_linkage_group_121	Bacteria	Firmicutes	NA	NA	NA	NA	NA
motu_linkage_group_122	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
motu_linkage_group_124	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium siraeum
motu_linkage_group_126	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
motu_linkage_group_127	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum variabile
motu_linkage_group_13	Bacteria	NA	NA	NA	NA	NA	NA
motu_linkage_group_131	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. HGB5
motu_linkage_group_132	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
motu_linkage_group_134	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
motu_linkage_group_135	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
motu_linkage_group_136	Bacteria	Firmicutes	NA	NA	NA	NA	NA
motu_linkage_group_137	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprophilus
motu_linkage_group_14	Bacteria	Bacteroidetes	NA	NA	NA	NA	NA
motu_linkage_group_140	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
motu_linkage_group_141	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
motu_linkage_group_142	Bacteria	Firmicutes	NA	NA	NA	NA	NA
motu_linkage_group_145	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
motu_linkage_group_146	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
motu_linkage_group_151	Bacteria	Firmicutes	NA	NA	NA	NA	NA
motu_linkage_group_154	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
motu_linkage_group_155	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio crossotus
motu_linkage_group_158	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
motu_linkage_group_159	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	NA	NA
motu_linkage_group_161	NA	NA	NA	NA	NA	NA	NA
motu_linkage_group_162	Bacteria	Firmicutes	Clostridia	Clostridiales			[Bacteroides] pectinophilus
motu_linkage_group_164	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
motu_linkage_group_165	Bacteria	NA	NA	NA	NA	NA	NA
motu_linkage_group_168	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri
motu_linkage_group_17	Bacteria	Firmicutes	NA	NA	NA	NA	NA
motu_linkage_group_170	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
motu_linkage_group_171	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
motu_linkage_group_174	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	NA
motu_linkage_group_176	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	NA
motu_linkage_group_177	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
motu_linkage_group_178	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris
motu_linkage_group_179	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
motu_linkage_group_18	Bacteria	NA	NA	NA	NA	NA	NA
