ICEberg_217	ICEBat1942-1
ICEberg_2	CTn341
ICEberg_12	ICEVchBan5
ICEberg_16	ICEVchBan9
ICEberg_21	ICEVchInd4
ICEberg_22	ICEVchInd5
ICEberg_23	ICEVchMex1
ICEberg_36	ICEVflInd1
ICEberg_37	ICEPalBan1
ICEberg_38	ICEPdaSpa1
ICEberg_39	ICESpuPO1
ICEberg_40	ICEPmiUSA1
ICEberg_43	R391
ICEberg_44	SXT(MO10)
ICEberg_45	Tn916
ICEberg_46	Tn4371
ICEberg_47	Tn5251(partofTn5253)
ICEberg_48	ICEBxeLB400-1
ICEberg_49	ICECmeCH34-1
ICEberg_50	ICEXcaVe85-1
ICEberg_51	ICEXcaCa8004-1
ICEberg_52	ICEPaeLESB58-1
ICEberg_53	ICEHaeULPAs1-1
ICEberg_54	ICETauDSM9187-1
ICEberg_55	ICEAciJS42-1
ICEberg_56	ICEclc(B13)
ICEberg_58	ICEBfrYCH46-1
ICEberg_59	ICEBs1
ICEberg_60	ICEHin1056
ICEberg_61	ICEHin86-1
ICEberg_62	CTn6002
ICEberg_64	CTnBST
ICEberg_66	CTnscr94
ICEberg_67	Tn6000(EfcTn1)
ICEberg_68	ICE6013
ICEberg_69	ICEA(5632)-I
ICEberg_70	ICEEc1
ICEberg_71	ICEEc2
ICEberg_72	ICEF-I
ICEberg_74	ICEEcIHE3034-1
ICEberg_76	ICESde3396
ICEberg_77	ICESe2
ICEberg_78	ICESt1
ICEberg_79	ICESt3
ICEberg_80	ICESpn8140
ICEberg_81	ICESpnMalM6
ICEberg_82	ICESpnH034800032
ICEberg_83	ICESpn23771
ICEberg_84	ICESpn11930
ICEberg_85	ICESpn11930-2
ICEberg_86	ICESpn11928
ICEberg_87	ICESpn9409
ICEberg_88	ICESpn11876
ICEberg_92	Tn1549
ICEberg_102	Tn5386
ICEberg_103	Tn5397
ICEberg_112	ICEYe1
ICEberg_113	ICESb1
ICEberg_114	ICESb2
ICEberg_115	ICESe3
ICEberg_118	pSA1
ICEberg_122	pMEA100
ICEberg_123	pMEA300
ICEberg_126	ICEKp1
ICEberg_127	ICEKpn342-1
ICEberg_128	ICEDdaEch586-1
ICEberg_129	ICEEcoED1a-1
ICEberg_130	ICECkoBAA-1
ICEberg_131	ICEDzeEch1591-1
ICEberg_132	ICEEcoUMN026-1
ICEberg_133	ICEMloMAF-1
ICEberg_150	pMR2
ICEberg_152	CTn9343
ICEberg_153	ICESauTW20-1
ICEberg_154	ICESauT0131-1
ICEberg_155	ICESauJKD6008-1
ICEberg_156	pSE102
ICEberg_157	pSE211
ICEberg_158	pSE222
ICEberg_159	TnGBS2(genomicislandX)
ICEberg_160	TnGBS1
ICEberg_161	pNEM316-1(islandVII)
ICEberg_162	pNEM316-1(islandVIII)
ICEberg_163	SLP1
ICEberg_165	ICE6094
ICEberg_166	ICE-KKS
ICEberg_172	Tn1207.3
ICEberg_173	pKLC102
ICEberg_174	PAGI-2
