PATID00001	LMOh7858_0068
PATID00002	Rv3864
PATID00003	EC042_pAA007
PATID00004	Rv2813
PATID00005	EC042_4593
PATID00006	CP0144
PATID00007	Rv1788
PATID00008	Rv1168c
PATID00009	Rv1293
PATID00010	lmo0838
PATID00011	lmo0201
PATID00012	SDY_1022
PATID00013	lmo1378
PATID00014	c0393
PATID00015	lmo0438
PATID00016	Z0469
PATID00017	SFK218_2877
PATID00018	CP0137
PATID00019	Rv1818c
PATID00020	Rv1539
PATID00021	Lmon1_020100010133
PATID00022	Rv0199
PATID00023	Btr_1691
PATID00024	Lmon1_020100012015
PATID00025	STM474_0413
PATID00026	BCG_2067c
PATID00027	lmo1429
PATID00028	Rv2224c
PATID00029	UTI89_C4921
PATID00030	ERDMAN_0711
PATID00031	ERLG_01291
PATID00032	STM14_3462
PATID00033	lmo0540
PATID00034	CP0010
PATID00035	Rv2391
PATID00036	lmo1580
PATID00037	Rv1290c
PATID00038	Z3635
PATID00039	c4308
PATID00040	Rv2942
PATID00041	lmo0943
PATID00042	MAV_4292
PATID00043	Rv3487c
PATID00044	SFK218_2864
PATID00045	STM474_0313
PATID00046	Btr_2531
PATID00047	lmo1927
PATID00048	E2348_P1_007
PATID00049	E2348C_3934
PATID00050	Rv0867c
PATID00051	Rv1503c
PATID00052	MT3523
PATID00053	EC2720900_3581
PATID00054	Rv3823c
PATID00055	lmo1821
PATID00056	Rv0285
PATID00057	Rv3910
PATID00058	lmo0263
PATID00059	lmo0441
PATID00060	Rv1028c
PATID00061	Rv0513
PATID00062	SL1344_2164
PATID00063	Rv2692
PATID00064	lmo1486
PATID00065	Rv1333
PATID00066	t4351
PATID00067	Rv2301
PATID00068	lmo2039
PATID00069	Rv3812
PATID00070	SL1344_2855
PATID00071	Z1465
PATID00072	Rv1284
PATID00073	c2557
PATID00074	SL1344_3468
PATID00075	lmo1847
PATID00076	lmo0763
PATID00077	SL1344_4027
PATID00078	BWG_0833
PATID00079	BH13370
PATID00080	SL1344_4230
PATID00081	Rv1514c
PATID00082	Rv1790
PATID00083	E2348C_3954
PATID00084	c0468
PATID00085	lmo0787
PATID00086	EC042_pAA046
PATID00087	STM14_1742
PATID00088	STM14_3078
PATID00089	c4361
PATID00090	SL1344_3776
PATID00091	Lmon1_020100014056
PATID00092	SL1344_1503
PATID00093	Rv3614c
PATID00094	Rv2845c
PATID00095	EC042_pAA009
PATID00096	Rv2389c
PATID00097	Z5113
PATID00098	SL1344_0617
PATID00099	Rv1821
PATID00100	Rv3876
PATID00101	STM474_0039
PATID00102	Z1829
PATID00103	Z5214
PATID00104	Z3948
PATID00105	Rv1938
PATID00106	Z3867
PATID00107	EcB171_3162
PATID00108	Z0390
PATID00109	Rv3873
PATID00110	c2338
PATID00111	Rv3651
PATID00112	Rv0405
PATID00113	Z3841
PATID00114	STM2513
PATID00115	lmo0051
PATID00116	lmo1273
PATID00117	S3902
PATID00118	SL1344_0588
PATID00119	Rv2794c
PATID00120	CP0134
PATID00121	Rv0655
PATID00122	BH13430
PATID00123	Rv1405c
PATID00124	SL1344_3870
PATID00125	Rv3542c
PATID00126	Rv1651c
PATID00127	Rv3404c
PATID00128	Z0609
PATID00129	SL1344_3725
PATID00130	VBIBarTri113218_0305
PATID00131	Rv3061c
PATID00132	b2093
PATID00133	SL1344_0306
PATID00134	Rv2707
PATID00135	STM14_2590
PATID00136	Rv0990c
PATID00137	ETEC_4439
PATID00138	Rv3551
PATID00139	SL1344_2845
PATID00140	lmo0692
PATID00141	Rv3419c
PATID00142	Z3022
PATID00143	lmo0292
PATID00144	Rv1224
PATID00145	Btr_1145
PATID00146	lmo1769
PATID00147	STM3453
PATID00148	Rv3673c
PATID00149	SL1344_0566
PATID00150	Rv1755c
PATID00151	Rv3666c
PATID00152	E2348C_1044
PATID00153	MAP1047
PATID00154	Rv0934
PATID00155	lmo1604
PATID00156	BCG_2812c
PATID00157	SFK218_2866
PATID00158	Rv3701c
PATID00159	SS322685_3589
PATID00160	SL1344_2872
PATID00161	CP0149
PATID00162	SL1344_2127
PATID00163	lmo0203
PATID00164	STM474_3887
PATID00165	STM474_2081
PATID00166	Rv2192c
PATID00167	SL1344_4197
PATID00168	lmo2821
PATID00169	lmo1439
PATID00170	SFK1770_3584
PATID00171	c5395
PATID00172	APECO1_O1CoBM96
PATID00173	LMOh7858_1898
PATID00174	Rv2277c
PATID00175	SEN0952
PATID00176	Rv3526
PATID00177	SL1344_2126
PATID00178	MT3491.1
PATID00179	SFK1770_4258
PATID00180	SL1344_4255
PATID00181	Z5750
PATID00182	ERDMAN_0713
PATID00183	SL1344_2847
PATID00184	STM474_2604
PATID00185	lmo1484
PATID00186	SL1344_1218
PATID00187	SL1344_2075
PATID00188	Z3404
PATID00189	STM474_1427
PATID00190	Rv2123
PATID00191	Rv0348
PATID00192	lmo1291
PATID00193	Rv2377c
PATID00194	Rv3252c
PATID00195	b3138
PATID00196	Rv2382c
PATID00197	SL1344_0939
PATID00198	Rv3111
PATID00199	lmo1713
PATID00200	SL1344_3165
PATID00201	E2348C_1740
PATID00202	CP0004
PATID00203	STM14_4387
PATID00204	Rv0342
PATID00205	Rv0491
PATID00206	Z3197
PATID00207	Z2056
PATID00208	Lmon1_020100014071
PATID00209	Rv2921c
PATID00210	LIV_1187
PATID00211	VBILisMon5687_1619
PATID00212	Rv3867
PATID00213	STM474_4103
PATID00214	MMAR_2679
PATID00215	Rv3880c
PATID00216	STM474_0343
PATID00217	MT2129
PATID00218	SF2299
PATID00219	Rv3519
PATID00220	STM474_1321
PATID00221	Rv0204c
PATID00222	BWG_0835
PATID00223	Rv2040c
PATID00224	E2348C_3938
PATID00225	Rv2171
PATID00226	lmo2770
PATID00227	STM14_0641
PATID00228	Z2176
PATID00229	STM2511
PATID00230	SF660363_0094
PATID00231	lmo2482
PATID00232	Z5122
PATID00233	SL1344_2674
PATID00234	lmo0195
PATID00235	Z5212
PATID00236	ERDMAN_3517
PATID00237	lmo1271
PATID00238	Lmon1_020100014051
PATID00239	Rv3676
PATID00240	ECO26_5283
PATID00241	SL1344_2869
PATID00242	CP0152
PATID00243	Rv3663c
PATID00244	Rv0636
PATID00245	ERDMAN_3224
PATID00246	MMAR_1767
PATID00247	Sd1012_3335
PATID00248	Rv1932
PATID00249	CP0140
PATID00250	CP0129
PATID00251	c3586
PATID00252	Rv0642c
PATID00253	Rv0475
PATID00254	STMUK_3704
PATID00255	lmo1495
PATID00256	Rv3089
PATID00257	S2726
PATID00258	Z3026
PATID00259	c5444
PATID00260	Z6010
PATID00261	Rv1111c
PATID00262	Rv3178
PATID00263	c3591
PATID00264	Rv2702
PATID00265	Rv1009
PATID00266	STM14_2300
PATID00267	c1633
PATID00268	E2348C_3952
PATID00269	Rv2957
PATID00270	Rv3416
PATID00271	STM3466
PATID00272	Rv2502c
PATID00273	STM474_0352
PATID00274	Rv1569
PATID00275	lmo1844
PATID00276	Rv0735
PATID00277	SL1344_1478
PATID00278	lmo0758
PATID00279	Z1202
PATID00280	Z2368
PATID00281	SEN0657
PATID00282	Rv2379c
PATID00283	SL1344_0511
PATID00284	UTI89_C4926
PATID00285	c4606
PATID00286	EcB171_3164
PATID00287	EcB171_3158
PATID00288	Rv3655c
PATID00289	STM474_2606
PATID00290	Rv0304c
PATID00291	MMAR_5425
PATID00292	Rv0450c
PATID00293	SL1344_3451
PATID00294	Rv0679c
PATID00295	SG2866
PATID00296	Z2749
PATID00297	Rv0097
PATID00298	MT0618
PATID00299	Z5110
PATID00300	SFK218_1579
PATID00301	STM474_1746
PATID00302	Rv1653
PATID00303	Rv3502c
PATID00304	Rv1782
PATID00305	c4450
PATID00306	Rv1185c
PATID00307	ERDMAN_0329
PATID00308	Rv2038c
PATID00309	MT3627
PATID00310	MAV_0385
PATID00311	Z3199
PATID00312	SF285071_0233
PATID00313	SL1344_0909
PATID00314	STMUK_3703
PATID00315	Rv2912c
PATID00316	Rv2211c
PATID00317	Z5042
PATID00318	lmo1825
PATID00319	c4448
PATID00320	SL1344_1298
PATID00321	lmo0204
PATID00322	Rv0100
PATID00323	Rv2981c
PATID00324	PSLT018
PATID00325	Lmon1_020100014061
PATID00326	Rv2416c
PATID00327	BH01510
PATID00328	t2318
PATID00329	SL1344_2870
PATID00330	E2348C_1042
PATID00331	pLM33_p09
PATID00332	STM474_0956
PATID00333	MT1944
PATID00334	lmo0055
PATID00335	Rv2820c
PATID00336	Z3950
PATID00337	VBILisMon5687_1618
PATID00338	LmonL_020200006576
PATID00339	Rv1386
PATID00340	Rv0160c
PATID00341	MT1234
PATID00342	ERDMAN_4190
PATID00343	Rv3537
PATID00344	Z5100
PATID00345	Z5119
PATID00346	Z2207
PATID00347	Z3341
PATID00348	Z2751
PATID00349	E2348_P1_003
PATID00350	Rv2938
PATID00351	lmo0320
PATID00352	Rv3681c
PATID00353	SL1344_4094
PATID00354	Z4200
PATID00355	Rv3588c
PATID00356	LMOATCC19117_1846
PATID00357	SL1344_2765
PATID00358	E2348C_3936
PATID00359	SL1344_4269
PATID00360	SL1344_1330
PATID00361	Z2984
PATID00362	Rv3132c
PATID00363	Rv1941
PATID00364	Rv3375
PATID00365	lmo1923
PATID00366	Rv0414c
PATID00367	Rv1502
PATID00368	APECO1_O1CoBM140
PATID00369	L7031
PATID00370	lmo0136
PATID00371	MMAR_5053
PATID00372	Rv2350c
PATID00373	c1081
PATID00374	SF3718
PATID00375	Rv0046c
PATID00376	Rv0670
PATID00377	Rv0189c
PATID00378	lmo0135
PATID00379	SL1344_1514
PATID00380	lmo2537
PATID00381	ERDMAN_3223
PATID00382	S2219
PATID00383	CP0094
PATID00384	SEN1182
PATID00385	Rv0427c
PATID00386	Rv0355c
PATID00387	Rv3499c
PATID00388	Rv2351c
PATID00389	Z5131
PATID00390	Rv1235
PATID00391	Rv3574
PATID00392	SL1344_0991
PATID00393	Rv3540c
PATID00394	Rv1128c
PATID00395	SL1344_1009
PATID00396	STM474_2905
PATID00397	Rv0950c
PATID00398	lmo0645
PATID00399	Z3195
PATID00400	BH13400
PATID00401	c3619
PATID00402	c1803
PATID00403	STM474_2663
PATID00404	MMAR_2677
PATID00405	BCG_0248
PATID00406	Rv0099
PATID00407	ERDMAN_4259
PATID00408	SEN1049
PATID00409	lmo0931
PATID00410	MMAR_5374
PATID00411	lmo1527
PATID00412	Rv0899
PATID00413	lmo0153
PATID00414	SL1344_1292
PATID00415	STM2894
PATID00416	Btr_2511
PATID00417	Rv3805c
PATID00418	Rv1930c
PATID00419	SL1344_4141
PATID00420	Z4283
PATID00421	SL1344_2057
PATID00422	lmo1072
PATID00423	STM1401
PATID00424	Rv3541c
PATID00425	Rv1876
PATID00426	lmo1446
PATID00427	Rv2437
PATID00428	c1599
PATID00429	MAP3733c
PATID00430	Rv2865
PATID00431	Rv0930
PATID00432	Rv1144
PATID00433	BWG_0837
PATID00434	SL1344_2841
PATID00435	lmo0753
PATID00436	CP0003
PATID00437	PSLT072
PATID00438	Rv1506c
PATID00439	Rv0758
PATID00440	STM14_4386
PATID00441	Rv3083
PATID00442	Rv3335c
PATID00443	lmo0515
PATID00444	c3584
PATID00445	LmonL_020200001239
PATID00446	lmo1600
PATID00447	lmo1267
PATID00448	Rv3824c
PATID00449	Rv1590
PATID00450	lmo1741
PATID00451	lmo1235
PATID00452	Rv2950c
PATID00453	CP0226
PATID00454	RVBD_0932c
PATID00455	ERFG_04514
PATID00456	SL1344_3102
PATID00457	Rv3168
PATID00458	Rv2227
PATID00459	lmo1085
PATID00460	Rv3229c
PATID00461	Rv1371
PATID00462	SFK218_2931
PATID00463	lmo0155
PATID00464	SL1344_2865
PATID00465	STM14_1709
PATID00466	Z3004
PATID00467	Rv2998
PATID00468	ECSE_P1-0089
PATID00469	SL1344_1081
PATID00470	lmo0974
PATID00471	STM14_3486
PATID00472	Rv0101
PATID00473	MT3320
PATID00474	Rv2696c
PATID00475	CP0143
PATID00476	Rv2381c
PATID00477	SL1344_1877
PATID00478	ERDMAN_3221
PATID00479	Z2195
PATID00480	STM474_0573
PATID00481	Rv3544c
PATID00482	Rv1980c
PATID00483	Rv3841
PATID00484	lmo2515
PATID00485	Z5608
PATID00486	Rv0983
PATID00487	Rv3794
PATID00488	E2348C_3941
PATID00489	lmo0264
PATID00490	E2348_P1_008
PATID00491	SL1344_4097
PATID00492	VBIEscCol129985_0005
PATID00493	STM14_0636
PATID00494	SL1344_3013
PATID00495	c2518
PATID00496	STM474_1401
PATID00497	Rv2959c
PATID00498	STM14_1501
PATID00499	Z5912
PATID00500	Rv1092c
PATID00501	ERDMAN_2001
PATID00502	SL1344_2879
PATID00503	Z2149
PATID00504	STM474_0218
PATID00505	Rv3133c
PATID00506	Rv2857c
PATID00507	c1093
PATID00508	Rv0949
PATID00509	PSLT046
PATID00510	SB96558_5304
PATID00511	STM474_2175
PATID00512	Z3620
PATID00513	SL1344_0513
PATID00514	Rv2004c
PATID00515	lmo1829
PATID00516	c5391
PATID00517	APECO1_O1CoBM27
PATID00518	Rv3810
PATID00519	Rv1349
PATID00520	SL1344_3867
PATID00521	Z2142
PATID00522	SL1344_1325
PATID00523	t4349
PATID00524	STM474_3040
PATID00525	STM14_0635
PATID00526	C4390_44170
PATID00527	Rv2450c
PATID00528	Rv3560c
PATID00529	Rv0195
PATID00530	Rv2136c
PATID00531	Rv1211
PATID00532	Rv2336
PATID00533	t1282
PATID00534	Rv0820
PATID00535	Rv0022c
PATID00536	Rv2958c
PATID00537	Rv3343c
PATID00538	t3801
PATID00539	SL1344_3655
PATID00540	Rv2734
PATID00541	STM14_4536
PATID00542	STM474_2773
PATID00543	SG2041
PATID00544	Rv1021
PATID00545	Z5115
PATID00546	lmo2431
PATID00547	Rv1410c
PATID00548	MT2467
PATID00549	SL1344_0031
PATID00550	Z0038
PATID00551	Rv3654c
PATID00552	Rv1981c
PATID00553	MAP1534
PATID00554	Rv1967
PATID00555	Rv3870
PATID00556	STM0547
PATID00557	Rv1884c
PATID00558	lmo0495
PATID00559	EC042_pAA035
PATID00560	Rv2387
PATID00561	lmo2555
PATID00562	Rv3563
PATID00563	Rv1936
PATID00564	STM474_1890
PATID00565	STM474_1398
PATID00566	STM14_2302
PATID00567	SL1344_2112
PATID00568	STM0226
PATID00569	SFK218_2871
PATID00570	STM474_0353
PATID00571	SG2061
PATID00572	ERDMAN_4251
PATID00573	Rv1465
PATID00574	b0957
PATID00575	lmo0810
PATID00576	LMHCC_1438
PATID00577	c4648
PATID00578	MT3329
PATID00579	SL1344_3638
PATID00580	Rv3010c
PATID00581	Rv1237
PATID00582	Rv3568c
PATID00583	MT0516
PATID00584	VBIBarTri113218_0084
PATID00585	Z4887
PATID00586	BWG_0839
PATID00587	MMAR_2320
PATID00588	Rv1813c
PATID00589	Rv1527c
PATID00590	STM14_4482
PATID00591	Rv3472
PATID00592	Rv1099c
PATID00593	SL1344_1638
PATID00594	Rv1789
PATID00595	Rv2032
PATID00596	STM1094
PATID00597	Z3343
PATID00598	Rv3414c
PATID00599	STM14_1408
PATID00600	VBIBarHen29080_1821
PATID00601	Rv0969
PATID00602	MSMEG_0083
PATID00603	lmo2067
PATID00604	STM474_1538
PATID00605	SEN1686
PATID00606	BARBAKC583_0326
PATID00607	Rv0432
PATID00608	Rv3085
PATID00609	c3566
PATID00610	CP0130
PATID00611	SL1344_2867
PATID00612	S2559
PATID00613	Rv2984
PATID00614	Rv2962c
PATID00615	lmo2558
PATID00616	lmo0049
PATID00617	Rv2127
PATID00618	PSLT016
PATID00619	Z3632
PATID00620	lmo1745
PATID00621	STM2871
PATID00622	STM14_1713
PATID00623	SL1344_4028
PATID00624	lmo0582
PATID00625	Rv0981
PATID00626	Rv0169
PATID00627	ERDMAN_0515
PATID00628	SEEDSL_021506
PATID00629	STM474_1888
PATID00630	Rv3523
PATID00631	MT2282
PATID00632	STM474_0680
PATID00633	STM14_4527
PATID00634	Btr_2532
PATID00635	MMAR_2284
PATID00636	Z2053
PATID00637	lmo0583
PATID00638	STM2883
PATID00639	STM14_4385
PATID00640	APECO1_O1CoBM137
PATID00641	Rv1109c
PATID00642	SL1344_0705
PATID00643	MAV_2928
PATID00644	ML1419
PATID00645	lmo1088
PATID00646	E2348C_3955
PATID00647	SL1344_0729
PATID00648	lmo2020
PATID00649	STM2882
PATID00650	Rv2930
PATID00651	Z0118
PATID00652	c5392
PATID00653	Rv2583c
PATID00654	SF4327
PATID00655	STM474_1417
PATID00656	Rv2976c
PATID00657	c3568
PATID00658	Rv3489
PATID00659	STM14_5563
PATID00660	Z2203
PATID00661	Rv3872
PATID00662	MMAR_0747
PATID00663	Rv3723
PATID00664	Rv3881c
PATID00665	Rv1817
PATID00666	Z5121
PATID00667	Rv3088
PATID00668	Rv1807
PATID00669	SSON_P044
PATID00670	Rv1221
PATID00671	STM14_0650
PATID00672	SL1344_1747
PATID00673	Rv3270
PATID00674	STM474_0833
PATID00675	lmo0641
PATID00676	Rv2866
PATID00677	SFV_1678
PATID00678	SL1344_3934
PATID00679	VBIBarHen29080_1824
PATID00680	Rv2745c
PATID00681	STM474_1403
PATID00682	ERDMAN_4245
PATID00683	SL1344_2071
PATID00684	c5396
PATID00685	PSLT038
PATID00686	lmo2757
PATID00687	SL1344_4108
PATID00688	Rv1357c
PATID00689	Rv3877
PATID00690	APECO1_O1CoBM172
PATID00691	b3622
PATID00692	SFV_3854
PATID00693	SL1344_3720
PATID00694	STM1444
PATID00695	STM14_1974
PATID00696	STM474_1426
PATID00697	Rv3616c
PATID00698	SL1344_0436
PATID00699	Rv2072c
PATID00700	Rv3887c
PATID00701	SL1344_4440
PATID00702	BWG_0834
PATID00703	Rv1244
PATID00704	SF1149
PATID00705	Rv3371
PATID00706	Rv1184c
PATID00707	SL1344_2043
PATID00708	lmo1447
PATID00709	SL1344_0309
PATID00710	EC042_pAA052
PATID00711	CP0078
PATID00712	lmo0691
PATID00713	SL1344_0016
PATID00714	Lmon1_020100004517
PATID00715	Rv0218
PATID00716	Rv1469
PATID00717	APECO1_O1CoBM170
PATID00718	Lmon1_020100000970
PATID00719	STM0209
PATID00720	SL1344_2924
PATID00721	Rv0170
PATID00722	Rv3615c
PATID00723	Rv3683
PATID00724	ERDMAN_2439
PATID00725	c1780
PATID00726	SL1344_1034
PATID00727	MMAR_2698
PATID00728	lmo0618
PATID00729	MT2594
PATID00730	Rv0687
PATID00731	c1071
PATID00732	Rv2231c
PATID00733	Rv2946c
PATID00734	ERDMAN_0712
PATID00735	lmo0415
PATID00736	STM14_4033
PATID00737	SBO_P119
PATID00738	Rv0249c
PATID00739	SL1344_1346
PATID00740	MMAR_1778
PATID00741	CP0147
PATID00742	lmo0895
PATID00743	lmo0799
PATID00744	MMAR_5443
PATID00745	Rv0500
PATID00746	SF1365
PATID00747	SFK1770_4076
PATID00748	STM14_3481
PATID00749	lmo0674
PATID00750	STM14_4507
PATID00751	E2348C_3935
PATID00752	Rv3583c
PATID00753	BCG_0510c
PATID00754	E2348C_3942
PATID00755	c3623
PATID00756	Rv1979c
PATID00757	Lmon1_020100013384
PATID00758	lmo0317
PATID00759	Rv1886c
PATID00760	SFV_3641
PATID00761	ERDMAN_0552
PATID00762	STM474_2679
PATID00763	STM474_4389
PATID00764	MRA_2369
PATID00765	Rv2392
PATID00766	Rv2873
PATID00767	lmo2181
PATID00768	Rv0176
PATID00769	SL1344_2868
PATID00770	Rv1791
PATID00771	STM2304
PATID00772	VBIShiFle211407_3690
PATID00773	STM474_0388
PATID00774	ERDMAN_0512
PATID00775	MRA_2063
PATID00776	Rv1589
PATID00777	CP0138
PATID00778	SFK218_2865
PATID00779	E2348C_2915
PATID00780	Rv1345
PATID00781	lmo1014
PATID00782	SFK227_2454
PATID00783	Rv3277
PATID00784	Rv3409c
PATID00785	STM14_3468
PATID00786	HMPREF0358_4708
PATID00787	lmo0929
PATID00788	Rv1787
PATID00789	MT2018
PATID00790	E2348_P1_006
PATID00791	Rv3112
PATID00792	lmo1416
PATID00793	Z0037
PATID00794	SL1344_4000
PATID00795	STY4662
PATID00796	SL1344_4522
PATID00797	MAP3738c
PATID00798	STM474_4629
PATID00799	Z5665
PATID00800	Rv2374c
PATID00801	STM474_2341
PATID00802	Rv3804c
PATID00803	EC042_pAA011
PATID00804	lmo2429
PATID00805	EcB171_3159
PATID00806	Rv1304
PATID00807	STM14_3471
PATID00808	MT2245
PATID00809	SL1344_0209
PATID00810	Rv2384
PATID00811	CP0133
PATID00812	Rv3501c
PATID00813	Z1930
PATID00814	STM474_3938
PATID00815	Z4341
PATID00816	SL1344_3787
PATID00817	Rv3310
PATID00818	MMAR_2680
PATID00819	Rv0485
PATID00820	E2348_P1_020
PATID00821	STM14_0138
PATID00822	Rv3601c
PATID00823	lmo1369
PATID00824	pO157p58
PATID00825	MAV_4264
PATID00826	STM14_4216
PATID00827	Rv2936
PATID00828	SL1344_0543
PATID00829	STM14_2401
PATID00830	Rv3050c
PATID00831	Z3023
PATID00832	BWG_0836
PATID00833	MAP3290c
PATID00834	c0482
PATID00835	Z2205
PATID00836	Rv3082c
PATID00837	APECO1_O1CoBM139
PATID00838	STM14_928
PATID00839	MT1014
PATID00840	CP0151
PATID00841	Z5886
PATID00842	Z1403
PATID00843	Rv2428
PATID00844	Rv0451c
PATID00845	Rv1354c
PATID00846	SL1344_2876
PATID00847	Rv0198c
PATID00848	Rv0410c
PATID00849	c4711
PATID00850	Rv3874
PATID00851	lmo0154
PATID00852	SL1344_2863
PATID00853	STM1087
PATID00854	VBIMycAvi218047_2181
PATID00855	Rv3849
PATID00856	STY4652
PATID00857	Rv2396
PATID00858	lmo1523
PATID00859	STM474_1451
PATID00860	Z0990
PATID00861	ERDMAN_2108
PATID00862	PSLT017
PATID00863	SL1344_1494
PATID00864	SEN1648
PATID00865	STM474_0494
PATID00866	STM14_5564
PATID00867	c2581
PATID00868	MMAR_1765
PATID00869	lmo2825
PATID00870	Rv2987c
PATID00871	Z5140
PATID00872	Rv2380c
PATID00873	c2103
PATID00874	Rv3543c
PATID00875	STM474_0458
PATID00876	Rv0566c
PATID00877	Rv1266c
PATID00878	b2092
PATID00879	Rv1568
PATID00880	c3570
PATID00881	STM474_0645
PATID00882	SL1344_2256
PATID00883	E2348C_3953
PATID00884	BH00620
PATID00885	STM14_5127
PATID00886	SL1344_0911
PATID00887	APECO1_3527
PATID00888	c3589
PATID00889	Rv3223c
PATID00890	Rv3865
PATID00891	Rv3875
PATID00892	SL1344_1077
PATID00893	lmo2673
PATID00894	STM474_1412
PATID00895	STM474_3621
PATID00896	SFK218_2867
PATID00897	ERDMAN_0714
PATID00898	STM474_1424
PATID00899	SFxv_4895
PATID00900	Rv1016c
PATID00901	Rv0166
PATID00902	Rv0216
PATID00903	STM474_1612
PATID00904	Rv1460
PATID00905	Rv1183
PATID00906	Rv1332
PATID00907	STM14_0533
PATID00908	STM474_1050
PATID00909	lmo0200
PATID00910	STM474_2196
PATID00911	SL1344_1247
