POG0172	Vira [taxaid=10239 Recall=5 num_mrkr_POGs=1 genome_size_bp=undef NCBI_rank=undef Waller_rank=undef]
POG3362	Fuselloviridae [taxaid=10474 Recall=100 num_mrkr_POGs=1 genome_size_bp=16895.1111111111 NCBI_rank=family Waller_rank=family]
POG3354	Fusellovirus [taxaid=10475 Recall=100 num_mrkr_POGs=2 genome_size_bp=15764 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG3362	Fusellovirus [taxaid=10475 Recall=100 num_mrkr_POGs=2 genome_size_bp=15764 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG3538	Lipothrixviridae [taxaid=10477 Recall=100 num_mrkr_POGs=3 genome_size_bp=36228.5 NCBI_rank=family Waller_rank=family]
POG3515	Lipothrixviridae [taxaid=10477 Recall=100 num_mrkr_POGs=3 genome_size_bp=36228.5 NCBI_rank=family Waller_rank=family]
POG3531	Lipothrixviridae [taxaid=10477 Recall=100 num_mrkr_POGs=3 genome_size_bp=36228.5 NCBI_rank=family Waller_rank=family]
POG0337	Tectiviridae [taxaid=10656 Recall=100 num_mrkr_POGs=1 genome_size_bp=14880.7272727273 NCBI_rank=family Waller_rank=family]
POG0337	Tectivirus [taxaid=10657 Recall=100 num_mrkr_POGs=1 genome_size_bp=14880.7272727273 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG0573	Myoviridae [taxaid=10662 Recall=35 num_mrkr_POGs=2 genome_size_bp=122960.616915423 NCBI_rank=family Waller_rank=family]
POG0351	Myoviridae [taxaid=10662 Recall=35 num_mrkr_POGs=2 genome_size_bp=122960.616915423 NCBI_rank=family Waller_rank=family]
viruses"	"T4-like [taxaid=10663 Recall=POG0463 num_mrkr_POGs=88 genome_size_bp=1 NCBI_rank=178335.9 Waller_rank=genus]
POG1165	Siphoviridae [taxaid=10699 Recall=27 num_mrkr_POGs=1 genome_size_bp=50744.5925925926 NCBI_rank=family Waller_rank=family]
POG0030	Podoviridae [taxaid=10744 Recall=53 num_mrkr_POGs=1 genome_size_bp=42960.2519685039 NCBI_rank=family Waller_rank=family]
POG2234	Microviridae [taxaid=10841 Recall=83 num_mrkr_POGs=1 genome_size_bp=5437.35 NCBI_rank=family Waller_rank=family]
POG0170	Microvirus [taxaid=10842 Recall=98 num_mrkr_POGs=7 genome_size_bp=5613.52 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG0173	Microvirus [taxaid=10842 Recall=98 num_mrkr_POGs=7 genome_size_bp=5613.52 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG0174	Microvirus [taxaid=10842 Recall=98 num_mrkr_POGs=7 genome_size_bp=5613.52 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG0176	Microvirus [taxaid=10842 Recall=98 num_mrkr_POGs=7 genome_size_bp=5613.52 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG0177	Microvirus [taxaid=10842 Recall=98 num_mrkr_POGs=7 genome_size_bp=5613.52 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG0178	Microvirus [taxaid=10842 Recall=98 num_mrkr_POGs=7 genome_size_bp=5613.52 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG0002	Inovirus [taxaid=10861 Recall=43 num_mrkr_POGs=1 genome_size_bp=7125.9428571429 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG0346	Plectrovirus [taxaid=10875 Recall=83 num_mrkr_POGs=3 genome_size_bp=7184.1666666667 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG0347	Plectrovirus [taxaid=10875 Recall=83 num_mrkr_POGs=3 genome_size_bp=7184.1666666667 NCBI_rank=genus Waller_rank=genusEq_orLower]
POG3335	Plectrovirus [taxaid=10875 Recall=83 num_mrkr_POGs=3 genome_size_bp=7184.1666666667 NCBI_rank=genus Waller_rank=genusEq_orLower]
