VFID00001	VFG0957
VFID00002	VFG2233
VFID00003	VFG1721
VFID00004	VFG2330
VFID00005	VFG1553
VFID00006	VFG0266
VFID00007	VFG2364
VFID00008	VFG0880
VFID00009	VFG2269
VFID00010	VFG1936
VFID00011	VFG0601
VFID00012	VFG0470
VFID00013	VFG1486
VFID00014	VFG1437
VFID00015	VFG0555
VFID00016	VFG1888
VFID00017	VFG2502
VFID00018	VFG1313
VFID00019	VFG0812
VFID00020	VFG2041
VFID00021	VFG0175
VFID00022	VFG0369
VFID00023	VFG1382
VFID00024	VFG0733
VFID00025	VFG1785
VFID00026	VFG1344
VFID00027	VFG2262
VFID00028	VFG1917
VFID00029	VFG0879
VFID00030	VFG1233
VFID00031	VFG1821
VFID00032	VFG0492
VFID00033	VFG0287
VFID00034	VFG1799
VFID00035	VFG0535
VFID00036	VFG1414
VFID00037	VFG1448
VFID00038	VFG2078
VFID00039	VFG1537
VFID00040	VFG0913
VFID00041	VFG1678
VFID00042	VFG0085
VFID00043	VFG0903
VFID00044	VFG0041
VFID00045	VFG0205
VFID00046	VFG2401
VFID00047	VFG0285
VFID00048	VFG1688
VFID00049	VFG0327
VFID00050	VFG0588
VFID00051	VFG0352
VFID00052	VFG1353
VFID00053	VFG0850
VFID00054	VFG2146
VFID00055	VFG0665
VFID00056	VFG2017
VFID00057	VFG0954
VFID00058	VFG0703
VFID00059	VFG0226
VFID00060	VFG1696
VFID00061	VFG0796
VFID00062	VFG0055
VFID00063	VFG0645
VFID00064	VFG0120
VFID00065	VFG2531
VFID00066	VFG1897
VFID00067	VFG1257
VFID00068	VFG1543
VFID00069	VFG0560
VFID00070	VFG1104
VFID00071	VFG1878
VFID00072	VFG0461
VFID00073	VFG2218
VFID00074	VFG2377
VFID00075	VFG0934
VFID00076	VFG2297
VFID00077	VFG0662
VFID00078	VFG1530
VFID00079	VFG0379
VFID00080	VFG0218
VFID00081	VFG0823
VFID00082	VFG1321
VFID00083	VFG0328
VFID00084	VFG1957
VFID00085	VFG2428
VFID00086	VFG0023
VFID00087	VFG1987
VFID00088	VFG1462
VFID00089	VFG0153
VFID00090	VFG1305
VFID00091	VFG1213
VFID00092	VFG1016
VFID00093	VFG0638
VFID00094	VFG1706
VFID00095	VFG1990
VFID00096	VFG1490
VFID00097	VFG0741
VFID00098	VFG2024
VFID00099	VFG1577
VFID00100	VFG0678
VFID00101	VFG1681
VFID00102	VFG1755
VFID00103	VFG1243
VFID00104	VFG1642
VFID00105	VFG1627
VFID00106	VFG1222
VFID00107	VFG2283
VFID00108	VFG1968
VFID00109	VFG2039
VFID00110	VFG2551
VFID00111	VFG1322
VFID00112	VFG1887
VFID00113	VFG1029
VFID00114	VFG0008
VFID00115	VFG1453
VFID00116	VFG0320
VFID00117	VFG1207
VFID00118	VFG2456
VFID00119	VFG1263
VFID00120	VFG2008
VFID00121	VFG2475
VFID00122	VFG1157
VFID00123	VFG0780
VFID00124	VFG1732
VFID00125	VFG2164
VFID00126	VFG0280
VFID00127	VFG0384
VFID00128	VFG0924
VFID00129	VFG0748
VFID00130	VFG1271
VFID00131	VFG0872
VFID00132	VFG2443
VFID00133	VFG0250
VFID00134	VFG1997
VFID00135	VFG1438
VFID00136	VFG0976
VFID00137	VFG1834
VFID00138	VFG1645
VFID00139	VFG1025
VFID00140	VFG1911
VFID00141	VFG2118
VFID00142	VFG0929
VFID00143	VFG0984
VFID00144	VFG0969
VFID00145	VFG0396
VFID00146	VFG2063
VFID00147	VFG0513
VFID00148	VFG0099
VFID00149	VFG1242
VFID00150	VFG2073
VFID00151	VFG0118
VFID00152	VFG0063
VFID00153	VFG0772
VFID00154	VFG1020
VFID00155	VFG1401
VFID00156	VFG2392
VFID00157	VFG1573
VFID00158	VFG0674
VFID00159	VFG0406
VFID00160	VFG0316
VFID00161	VFG2564
VFID00162	VFG2343
VFID00163	VFG1933
VFID00164	VFG2331
VFID00165	VFG2452
VFID00166	VFG1110
VFID00167	VFG0292
VFID00168	VFG0215
VFID00169	VFG1826
VFID00170	VFG1125
VFID00171	VFG0657
VFID00172	VFG1980
VFID00173	VFG2256
VFID00174	VFG2349
VFID00175	VFG0717
VFID00176	VFG2545
VFID00177	VFG0200
VFID00178	VFG0004
VFID00179	VFG0574
VFID00180	VFG0817
VFID00181	VFG1828
VFID00182	VFG2351
VFID00183	VFG2305
VFID00184	VFG1286
VFID00185	VFG1567
VFID00186	VFG1584
VFID00187	VFG0938
VFID00188	VFG0994
VFID00189	VFG1715
VFID00190	VFG1036
VFID00191	VFG2421
VFID00192	VFG0076
VFID00193	VFG0145
VFID00194	VFG0137
VFID00195	VFG0629
VFID00196	VFG0759
VFID00197	VFG0789
VFID00198	VFG0020
VFID00199	VFG1056
VFID00200	VFG0833
VFID00201	VFG1256
VFID00202	VFG1790
VFID00203	VFG0843
VFID00204	VFG0965
VFID00205	VFG0164
VFID00206	VFG1701
VFID00207	VFG0875
VFID00208	VFG1816
VFID00209	VFG2112
VFID00210	VFG2273
VFID00211	VFG1134
VFID00212	VFG0641
VFID00213	VFG0166
VFID00214	VFG1267
VFID00215	VFG0416
VFID00216	VFG1403
VFID00217	VFG2081
VFID00218	VFG0232
VFID00219	VFG0156
VFID00220	VFG2408
VFID00221	VFG0484
VFID00222	VFG2516
VFID00223	VFG1976
VFID00224	VFG1399
VFID00225	VFG2224
VFID00226	VFG1841
VFID00227	VFG1408
VFID00228	VFG0482
VFID00229	VFG1053
VFID00230	VFG0212
VFID00231	VFG2103
VFID00232	VFG2048
VFID00233	VFG1365
VFID00234	VFG1624
VFID00235	VFG2133
VFID00236	VFG1950
VFID00237	VFG1150
VFID00238	VFG0094
VFID00239	VFG2382
VFID00240	VFG0510
VFID00241	VFG1906
VFID00242	VFG1639
VFID00243	VFG0240
VFID00244	VFG1227
VFID00245	VFG2471
VFID00246	VFG1595
VFID00247	VFG0319
VFID00248	VFG0489
VFID00249	VFG2105
VFID00250	VFG0012
VFID00251	VFG0335
VFID00252	VFG2205
VFID00253	VFG0373
VFID00254	VFG0132
VFID00255	VFG2413
VFID00256	VFG2487
VFID00257	VFG1429
VFID00258	VFG0451
VFID00259	VFG1370
VFID00260	VFG2129
VFID00261	VFG0493
VFID00262	VFG2058
VFID00263	VFG2122
VFID00264	VFG1413
VFID00265	VFG1599
VFID00266	VFG2435
VFID00267	VFG2115
VFID00268	VFG0019
VFID00269	VFG1007
VFID00270	VFG2494
VFID00271	VFG1807
VFID00272	VFG0103
VFID00273	VFG2093
VFID00274	VFG1386
VFID00275	VFG1454
VFID00276	VFG2469
VFID00277	VFG2293
VFID00278	VFG0682
VFID00279	VFG1777
VFID00280	VFG1653
VFID00281	VFG2248
VFID00282	VFG0111
VFID00283	VFG2318
VFID00284	VFG0734
VFID00285	VFG0296
VFID00286	VFG1250
VFID00287	VFG2569
VFID00288	VFG2153
VFID00289	VFG2236
VFID00290	VFG1850
VFID00291	VFG2011
VFID00292	VFG0942
VFID00293	VFG0868
VFID00294	VFG2455
VFID00295	VFG1120
VFID00296	VFG2170
VFID00297	VFG0456
VFID00298	VFG1281
VFID00299	VFG2376
VFID00300	VFG0072
VFID00301	VFG1614
VFID00302	VFG2406
VFID00303	VFG2419
VFID00304	VFG0458
VFID00305	VFG0190
VFID00306	VFG2506
VFID00307	VFG1146
VFID00308	VFG1432
VFID00309	VFG2243
VFID00310	VFG0502
VFID00311	VFG0224
VFID00312	VFG0183
VFID00313	VFG1848
VFID00314	VFG1500
VFID00315	VFG1467
VFID00316	VFG0247
VFID00317	VFG1124
VFID00318	VFG0193
VFID00319	VFG0917
VFID00320	VFG0464
VFID00321	VFG1117
VFID00322	VFG0225
VFID00323	VFG0124
VFID00324	VFG1444
VFID00325	VFG2209
VFID00326	VFG2245
VFID00327	VFG1857
VFID00328	VFG2334
VFID00329	VFG2168
VFID00330	VFG2267
VFID00331	VFG2397
VFID00332	VFG1786
VFID00333	VFG1725
VFID00334	VFG2013
VFID00335	VFG1319
VFID00336	VFG0802
VFID00337	VFG1521
VFID00338	VFG0639
VFID00339	VFG0862
VFID00340	VFG1266
VFID00341	VFG0698
VFID00342	VFG0016
VFID00343	VFG1944
VFID00344	VFG2439
VFID00345	VFG1050
VFID00346	VFG2527
VFID00347	VFG0434
VFID00348	VFG1298
VFID00349	VFG1306
VFID00350	VFG0154
VFID00351	VFG2045
VFID00352	VFG0634
VFID00353	VFG2458
VFID00354	VFG0051
VFID00355	VFG1659
VFID00356	VFG1291
VFID00357	VFG1873
VFID00358	VFG2051
VFID00359	VFG2139
VFID00360	VFG1866
VFID00361	VFG2277
VFID00362	VFG2253
VFID00363	VFG0893
VFID00364	VFG0931
VFID00365	VFG1825
VFID00366	VFG0884
VFID00367	VFG2219
VFID00368	VFG1648
VFID00369	VFG1504
VFID00370	VFG1241
VFID00371	VFG2479
VFID00372	VFG2116
VFID00373	VFG1996
VFID00374	VFG0562
VFID00375	VFG1661
VFID00376	VFG2097
VFID00377	VFG0820
VFID00378	VFG0650
VFID00379	VFG2444
VFID00380	VFG2179
VFID00381	VFG1062
VFID00382	VFG2488
VFID00383	VFG1751
VFID00384	VFG0763
VFID00385	VFG1343
VFID00386	VFG0479
VFID00387	VFG2348
VFID00388	VFG2412
VFID00389	VFG2072
VFID00390	VFG1153
VFID00391	VFG2053
VFID00392	VFG0839
VFID00393	VFG0895
VFID00394	VFG1279
VFID00395	VFG1107
VFID00396	VFG1377
VFID00397	VFG0953
VFID00398	VFG0364
VFID00399	VFG0950
VFID00400	VFG2025
VFID00401	VFG1953
VFID00402	VFG0583
VFID00403	VFG1083
VFID00404	VFG0262
VFID00405	VFG1961
VFID00406	VFG1283
VFID00407	VFG2152
VFID00408	VFG1100
VFID00409	VFG0449
VFID00410	VFG0827
VFID00411	VFG1534
VFID00412	VFG0649
VFID00413	VFG0784
VFID00414	VFG1474
VFID00415	VFG1737
VFID00416	VFG0928
VFID00417	VFG1084
VFID00418	VFG0027
VFID00419	VFG0980
VFID00420	VFG2524
VFID00421	VFG1395
VFID00422	VFG2225
VFID00423	VFG0255
VFID00424	VFG0816
VFID00425	VFG1983
VFID00426	VFG0380
VFID00427	VFG1348
VFID00428	VFG0986
VFID00429	VFG2538
VFID00430	VFG0739
