#Family	cazy-note	ncbi-cdd	cazy-class	cazy-activities
dockerin	The cohesin-dockerin interaction is the crucial interaction for complex formation in the cellulosome	pfam00404	Cellulosome	
cohesin	The cohesin-dockerin interaction is the crucial interaction for complex formation in the cellulosome	pfam00963	Cellulosome	
SLH	S-layer homology domain, anchoring cellulosome onto the bacterial cell surfaces	pfam00395	Cellulosome	
CBM30	Formerly known as X7 modules.	pfam02927	CBM	Binding to cellulose has been demonstrated for the N-terminal module of Fibrobacter succinogenes CelF.
GH22	Related a-lactalbumins are not included here	pfam00062	GH	lysozyme type C (EC 3.2.1.17); lysozyme type i (EC 3.2.1.17); alpha-lactalbumin
GT7		pfam02709	GT	lactose synthase (EC 2.4.1.22); beta-N-acetylglucosaminyl-glycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); N-acetyllactosamine synthase (EC 2.4.1.90); beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.-); xylosylprotein beta-4-galactosyltransferase (EC 2.4.1.133)
GT48		pfam02364	GT	1,3-beta-glucan synthase (EC 2.4.1.34)
CBM40		pfam02973	CBM	Modules of approx. 200 residues, found at the N-terminus of GH33 sialidases. Can also be found inserted in the beta-propeller of GH33 sialidases. The sialic acid binding function has been demonstrated for the N-terminal CBM40 of Vibrio cholerae sialidase (Moustafa et al. (2004) J Biol Chem 279:40819-26) (PMID: 15226294).
GT8	Distant similarity to family GT24	pfam01501	GT	lipopolysaccharide alpha-1,3-galactosyltransferase (EC 2.4.1.44);  UDP-Glc: (glucosyl)lipopolysaccharide alpha-1,2-glucosyltransferase (EC 2.4.1.-); lipopolysaccharide glucosyltransferase 1 (EC 2.4.1.58); glycogenin glucosyltransferase (EC 2.4.1.186); inositol 1-alpha-galactosyltransferase (galactinol synthase) (EC 2.4.1.123); homogalacturonan alpha-1,4-galacturonosyltransferase (EC 2.4.1.43); UDP-GlcA: xylan alpha-glucuronyltransferase (EC 2.4.1.-)
GT1	Distantly related to family GT28; several members of this family are made of two subunits (for instance Alg13 and Alg14 in Saccharomyces); the complete enzyme has been reconstituted whenever possible, and appears with the two subunit names separated by a + sign and with the N-terminal subunit followed by the C-terminal one	COG1819	GT	UDP-glucuronosyltransferase (EC 2.4.1.17); 2-hydroxyacylsphingosine 1-beta-galactosyltransferase (EC 2.4.1.45); N-acylsphingosine galactosyltransferase (EC 2.4.1.47); flavonol 3-O-glucosyltransferase (EC 2.4.1.91); indole-3-acetate beta-glucosyltransferase (EC 2.4.1.121); sterol glucosyltransferase (EC 2.4.1.173); ecdysteroid UDP-glucosyltransferase (EC 2.4.1.-); zeaxanthin glucosyltransferase (EC 2.4.1.-); zeatin O-beta-glucosyltransferase (EC 2.4.1.203); zeatin O-beta-xylosyltransferase (EC 2.4.2.40); limonoid glucosyltransferase (EC 2.4.1.210); sinapate 1-glucosyltransferase (EC 2.4.1.120); anthocyanin 3-O-galactosyltransferase (EC 2.4.1.-); anthocyanin 5-O-glucosyltransferase (EC 2.4.1.-); anthocyanidin 3-O-glucosyltransferase (EC 2.4.1.115); dTDP-beta-2-deoxy-L-fucose: alpha-L-2-deoxyfucosyltransferase (EC 2.4.1.-); UDP-beta-L-rhamnose: alpha-L-rhamnosyltransferase (EC 2.4.1.-); UDP-glucose: 4-hydroxybenzoate 4-O-beta-glucosyltransferase (EC 2.4.1.194); flavonol L-rhamnosyltransferase (EC 2.4.1.159); salicylic acid beta-glucosyltransferase (EC 2.4.1.-)
GH18	Contains chitinases of classes III and V. Contains non-catalytic proteins such as xylanase inhibitor; concanavalin B; narbonin	pfam00704	GH	chitinase (EC 3.2.1.14); endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); xylanase inhibitor; concanavalin B; narbonin
PL9		self-built	PL	pectate lyase (EC 4.2.2.2); exopolygalacturonate lyase (EC 4.2.2.9); thiopeptidoglycan lyase (EC 4.2.2.-).
CBM48		pfam02922	CBM	Modules of approx. 100 residues with glycogen-binding function, appended to GH13 modules. Also found in the beta subunit (glycogen-binding) of AMP-activated protein kinases (AMPK)
GH45	formerly known as cellulase family K; distantly related to plant expansins	pfam02015	GH	endoglucanase (EC 3.2.1.4)
CBM32	Formerly known as X56 modules. Distantly related to CBM6 modules and to Anguilla anguilla agglutinin.	pfam00754	CBM	Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278).
GH25		pfam01183	GH	lysozyme (EC 3.2.1.17)
PL8		pfam02278	PL	hyaluronate lyase (EC 4.2.2.1); chondroitin AC lyase (EC 4.2.2.5); xanthan lyase (EC 4.2.2.12); chondroitin ABC lyase (EC 4.2.2.20)
GH34		pfam00064	GH	sialidase or neuraminidase (EC 3.2.1.18)
GT2	Distant similarity to families GT12, GT21, GT27, GT55, GT81 etc.	pfam00535	GT	cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenolï¿½mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)
CBM13	Previously known as cellulose-binding domain family XIII (CBD XIII).	pfam00652	CBM	Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins this module binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of these modules has not been established. The pseudo three-fold symmetry of the CBM13 module has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis.
GH38		pfam01074	GH	alpha-mannosidase (EC 3.2.1.24) ; mannosyl-oligosaccharide alpha-1,3-1,6-mannosidase (EC 3.2.1.114); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC 3.2.1.-)
CBM6	Previously known as cellulose-binding domain family VI (CBD VI).	pfam03422	CBM	Modules of approx. 120 residues. The cellulose-binding function has been demonstrated in one case on amorphous cellulose and beta-1,4-xylan. Some of these modules also bind beta-1,3-glucan, beta-1,3-1,4-glucan, and beta-1,4-glucan.
PL12		pfam07940	PL	heparin-sulfate lyase (EC 4.2.2.8)
GH23	Corresponds to family 1 of the peptidoglycan lytic transglycosylases described by N.T. Blackburn and A.J. Clarke (2001) J. Mol. Evol. 52, 78-84; Note that 'peptidoglycan lytic transglycosylases' cleave peptidoglycan without intervention of a water molecule.	cd00254	GH	lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.-) also known in the literature as peptidoglycan lytic transglycosylase
GH16		cd00413	GH	xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103); endo-1,3-beta-glucanase (EC 3.2.1.39); endo-1,3(4)-beta-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); beta-agarase (EC 3.2.1.81); kappa;-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151)
CBM35		pfam03422	CBM	Modules of approx. 130 residues. A module that is conserved in three Cellvibrio xylan-degrading enzymes binds to xylan and the interaction is calcium dependent, while a module from a Cellvibrio mannanase binds to decorated soluble mannans and mannooligosaccharides. A module in a
CBM1	Previously known as cellulose-binding domain family I (CBD I).	pfam00734	CBM	Modules of approx. 40 residues found almost exclusively in fungi. The cellulose-binding function has been demonstrated in many cases, and appears to be mediated by three aromatic residues separated by about 10.4 angstrom and which form a flat surface. The only non-fungal occurence of CBM1 is in an algal non-hydrolytic polysaccharide-binding protein which is composed of four repeated CBM1 modules. Binding to chitin has been demonstrated in one case.
GT90	Created from Klutts, Levery and Doering (2007) J. Biol. Chem. 282:17890-17899 (PMID: 17430900)	smart00672	GT	UDP-Xyl: (mannosyl) glucuronoxylomannan/galactoxylomannan beta-1,2-xylosyltransferase (EC 2.4.2.-)
GH36	Mechanistic commonality with family GH27 demonstrated by Comfort et al. (2007) Biochemistry, 46: 3319-3330 (PMID: 17323919)	COG3345	GH	alpha-galactosidase (EC 3.2.1.22); alpha-N-acetylgalactosaminidase (EC 3.2.1.49); stachyose synthase (EC 2.4.1.67); raffinose synthase (EC 2.4.1.82)
GH56		pfam01630	GH	hyaluronidase (EC 3.2.1.35); chondroitin hydrolase (EC 3.2.1.-)
PL14		self-built	PL	alginate lyase (EC 4.2.2.3); exo-oligoalginate lyase (EC 4.2.2.-); beta-1,4-glucuronan lyase (EC 4.2.2.14)
