SequenceID	MarkerGene	mOTU	mOTU linkage Group Name
383372.Rcas_0077	COG0495	COG0495.OTUcal.v2.573	-
107806.BU191	COG0012	COG0012.OTUcal.v2.196	-
657319.EUS_23960	COG0525	COG0525.OTUcal.v2.1587	motu_linkage_group_372
861360.AARI_23020	COG0533	COG0533.OTUcal.v2.1256	-
469602.HMPREF0405_01904	COG0012	COG0012.OTUcal.v2.192	-
MH0076_revised_scaffold48987_2_gene53590	COG0533	COG0533.OTUcal.v2.1718	motu_linkage_group_113
267377.MMP1122	COG0012	COG0012.OTUcal.v2.1276	-
159510762-stool2_revised_scaffold3402_1_gene31736	COG0012	COG0012.OTUcal.v2.1764	motu_linkage_group_348
234826.AM446	COG0495	COG0495.OTUcal.v2.122	-
2110.MAGa6450	COG0541	COG0541.OTUcal.v2.522	-
640512.BC1003_0212	COG0018	COG0018.OTUcal.v2.1329	-
406327.Mevan_0445	COG0012	COG0012.OTUcal.v2.767	-
138119.DSY3158	COG0495	COG0495.OTUcal.v2.499	-
981222.Cabther_A0687	COG0215	COG0215.OTUcal.v2.775	-
490899.DKAM_0624	COG0495	COG0495.OTUcal.v2.529	-
474186.OG1RF_11902	COG0018	COG0018.OTUcal.v2.438	-
547559.Nmag_1815	COG0552	COG0552.OTUcal.v2.1103	-
515608.UPA1_G0500	COG0525	COG0525.OTUcal.v2.1613	-
585538.HMPREF0462_0646	COG0552	COG0552.OTUcal.v2.1304	-
304371.MCP_2679	COG0018	COG0018.OTUcal.v2.29	-
390235.PputW619_3404	COG0172	COG0172.OTUcal.v2.926	-
520449.BAKG_00364	COG0525	COG0525.OTUcal.v2.81	-
313598.MED152_01160	COG0541	COG0541.OTUcal.v2.777	-
865938.Weevi_1191	COG0215	COG0215.OTUcal.v2.569	-
888048.HMPREF8577_1449	COG0018	COG0018.OTUcal.v2.536	motu_linkage_group_844
MH0002_revised_scaffold45125_1_gene7652	COG0018	COG0018.OTUcal.v2.1865	motu_linkage_group_140
666510.ASAC_1148	COG0495	COG0495.OTUcal.v2.730	-
MH0026_revised_scaffold2699_13_gene28406	COG0012	COG0012.OTUcal.v2.1738	motu_linkage_group_284
159814214-stool1_revised_C609587_1_gene51883	COG0525	COG0525.OTUcal.v2.663	motu_linkage_group_262
265072.Mfla_0500	COG0215	COG0215.OTUcal.v2.121	-
MH0045_revised_scaffold25745_4_gene54852	COG0016	COG0016.OTUcal.v2.669	motu_linkage_group_275
MH0035_revised_scaffold33854_7_gene8405	COG0215	COG0215.OTUcal.v2.1900	motu_linkage_group_411
66692.ABC3895	COG0018	COG0018.OTUcal.v2.1629	-
160400887-stool1_revised_scaffold21091_1_gene242777	COG0215	COG0215.OTUcal.v2.1777	motu_linkage_group_394
158479027-stool1_revised_C775295_1_gene77866	COG0533	COG0533.OTUcal.v2.1737	motu_linkage_group_135
160704339-stool1_revised_scaffold18383_2_gene156299	COG0215	COG0215.OTUcal.v2.2013	motu_linkage_group_362
159510762-stool2_revised_scaffold22892_1_gene76175	COG0016	COG0016.OTUcal.v2.1780	motu_linkage_group_320
O2.UC19-0_revised_scaffold31517_3_gene28704	COG0533	COG0533.OTUcal.v2.1780	motu_linkage_group_310
290399.Arth_2494	COG0552	COG0552.OTUcal.v2.946	-
1034808.GIG_03312	COG0018	COG0018.OTUcal.v2.1113	-
869729.UM146_11045	COG0012	COG0012.OTUcal.v2.923	motu_linkage_group_607
552536.LMHCC_0757	COG0541	COG0541.OTUcal.v2.1695	-
679926.Mpet_1854	COG0541	COG0541.OTUcal.v2.1291	-
644966.Tmar_0836	COG0016	COG0016.OTUcal.v2.1013	-
754027.HMPREF9554_00086	COG0552	COG0552.OTUcal.v2.816	-
563045.CTS44_24243	COG0541	COG0541.OTUcal.v2.1720	-
497964.CfE428DRAFT_5324	COG0495	COG0495.OTUcal.v2.217	-
706846339-stool1_revised_C1129697_1_gene113857	COG0018	COG0018.OTUcal.v2.1770	motu_linkage_group_244
706846339-stool1_revised_C1129697_1_gene113856	COG0215	COG0215.OTUcal.v2.1991	motu_linkage_group_244
1050720.Agau_C100863	COG0495	COG0495.OTUcal.v2.152	-
283165.BQ13010	COG0533	COG0533.OTUcal.v2.332	-
764487809-stool2_revised_scaffold55723_1_gene43653	COG0016	COG0016.OTUcal.v2.1827	motu_linkage_group_164
286636.M6_Spy1310	COG0525	COG0525.OTUcal.v2.722	-
V1.UC7-0_revised_scaffold29366_3_gene36848	COG0018	COG0018.OTUcal.v2.352	motu_linkage_group_100
764447348-stool2_revised_scaffold24133_3_gene10360	COG0552	COG0552.OTUcal.v2.1769	motu_linkage_group_391
867900.Celly_2301	COG0215	COG0215.OTUcal.v2.1374	-
MH0048_revised_scaffold50617_3_gene22073	COG0552	COG0552.OTUcal.v2.1829	motu_linkage_group_134
MH0039_revised_scaffold22271_4_gene30213	COG0018	COG0018.OTUcal.v2.1491	motu_linkage_group_116
160603188-stool1_revised_C1019980_1_gene102788	COG0552	COG0552.OTUcal.v2.1966	motu_linkage_group_257
944546.ABED_0320	COG0172	COG0172.OTUcal.v2.555	-
158337416-stool2_revised_C1045008_1_gene49730	COG0495	COG0495.OTUcal.v2.1608	motu_linkage_group_372
MH0045_revised_scaffold11233_5_gene53025	COG0172	COG0172.OTUcal.v2.1713	motu_linkage_group_134
889932.LPST_C0509	COG0215	COG0215.OTUcal.v2.1180	-
235909.GK1196	COG0541	COG0541.OTUcal.v2.727	-
763496533-stool2_revised_scaffold24841_1_gene3495	COG0495	COG0495.OTUcal.v2.1816	motu_linkage_group_225
983328.CFV354_1534	COG0018	COG0018.OTUcal.v2.533	-
444157.Tneu_0203	COG0495	COG0495.OTUcal.v2.845	-
224324.aq_801	COG0533	COG0533.OTUcal.v2.1227	-
158944319-stool2_revised_scaffold21157_1_gene89216	COG0552	COG0552.OTUcal.v2.1755	motu_linkage_group_333
764544.GSEF_1946	COG0172	COG0172.OTUcal.v2.1207	-
159490532-stool2_revised_scaffold15979_1_gene95608	COG0018	COG0018.OTUcal.v2.1057	motu_linkage_group_396
349106.PsycPRwf_1263	COG0215	COG0215.OTUcal.v2.1307	-
V1.UC9-0_revised_scaffold15374_3_gene50206	COG0215	COG0215.OTUcal.v2.626	motu_linkage_group_440
326298.Suden_0131	COG0533	COG0533.OTUcal.v2.1655	-
MH0075_revised_scaffold5736_8_gene49007	COG0533	COG0533.OTUcal.v2.670	motu_linkage_group_275
MH0005_revised_scaffold1437_20_gene11483	COG0215	COG0215.OTUcal.v2.2026	motu_linkage_group_32
908341.HMPREF9412_2790	COG0495	COG0495.OTUcal.v2.436	-
158802708-stool1_revised_scaffold5489_3_gene78826	COG0541	COG0541.OTUcal.v2.1741	motu_linkage_group_87
MH0067_revised_scaffold12956_7_gene28150	COG0012	COG0012.OTUcal.v2.2043	-
909420.NMH_2350	COG0016	COG0016.OTUcal.v2.1461	-
MH0062_revised_scaffold2267_16_gene57157	COG0215	COG0215.OTUcal.v2.1766	motu_linkage_group_131
283165.BQ12940	COG0541	COG0541.OTUcal.v2.329	-
675806.VII_002859	COG0495	COG0495.OTUcal.v2.1550	-
866775.HMPREF9243_0665	COG0495	COG0495.OTUcal.v2.549	-
391598.FBBAL38_02060	COG0541	COG0541.OTUcal.v2.52	-
V1.UC13-0_revised_scaffold32801_1_gene71433	COG0016	COG0016.OTUcal.v2.1977	motu_linkage_group_624
